edinet_code,doc_id,submit_date,form_code,doc_description,period_end,saved_path
E02144,S100VWVY,2025-06-18,030000,有価証券報告書－第121期(2024/04/01－2025/03/31),2025-03-31,C:\02_programing\01_python\pyxel-game\Revenue_runner\downloads_edinet\E02144\2025_06_18\jpcrp030000-asr-001_E02144-000_2025-03-31_01_2025-06-18.xbrl
E02144,S100IUNR,2020-06-24,030000,有価証券報告書－第116期(平成31年4月1日－令和2年3月31日),2020-03-31,C:\02_programing\01_python\pyxel-game\Revenue_runner\downloads_edinet\E02144\2020_06_24\jpcrp030000-asr-001_E02144-000_2020-03-31_01_2020-06-24.xbrl
E02144,S100LO6W,2021-06-24,030000,有価証券報告書－第117期(令和2年4月1日－令和3年3月31日),2021-03-31,C:\02_programing\01_python\pyxel-game\Revenue_runner\downloads_edinet\E02144\2021_06_24\jpcrp030000-asr-001_E02144-000_2021-03-31_01_2021-06-24.xbrl
E02144,S100M270,2021-07-30,030001,訂正有価証券報告書－第116期(平成31年4月1日－令和2年3月31日),2020-03-31,C:\02_programing\01_python\pyxel-game\Revenue_runner\downloads_edinet\E02144\2021_07_30\jpcrp030000-asr-001_E02144-000_2020-03-31_02_2021-07-30.xbrl
E02144,S100M26Y,2021-07-30,030001,訂正有価証券報告書－第117期(令和2年4月1日－令和3年3月31日),2021-03-31,C:\02_programing\01_python\pyxel-game\Revenue_runner\downloads_edinet\E02144\2021_07_30\jpcrp030000-asr-001_E02144-000_2021-03-31_02_2021-07-30.xbrl
E02144,S100OC13,2022-06-23,030000,有価証券報告書－第118期(令和3年4月1日－令和4年3月31日),2022-03-31,C:\02_programing\01_python\pyxel-game\Revenue_runner\downloads_edinet\E02144\2022_06_23\jpcrp030000-asr-001_E02144-000_2022-03-31_01_2022-06-23.xbrl
E02144,S100QZHY,2023-06-30,030000,有価証券報告書－第119期(2022/04/01－2023/03/31),2023-03-31,C:\02_programing\01_python\pyxel-game\Revenue_runner\downloads_edinet\E02144\2023_06_30\jpcrp030000-asr-001_E02144-000_2023-03-31_01_2023-06-30.xbrl
E02144,S100RAR0,2023-06-30,030001,訂正有価証券報告書－第119期(2022/04/01－2023/03/31),2023-03-31,C:\02_programing\01_python\pyxel-game\Revenue_runner\downloads_edinet\E02144\2023_06_30\jpcrp030000-asr-001_E02144-000_2023-03-31_02_2023-06-30.xbrl
E02144,S100TR7I,2024-06-25,030000,有価証券報告書－第120期(2023/04/01－2024/03/31),2024-03-31,C:\02_programing\01_python\pyxel-game\Revenue_runner\downloads_edinet\E02144\2024_06_25\jpcrp030000-asr-001_E02144-000_2024-03-31_01_2024-06-25.xbrl
E02144,S100VWVY,2025-06-18,030000,有価証券報告書－第121期(2024/04/01－2025/03/31),2025-03-31,C:\02_programing\01_python\pyxel-game\Revenue_runner\downloads_edinet\E02144\2025_06_18\jpcrp030000-asr-001_E02144-000_2025-03-31_01_2025-06-18.xbrl
